Agent_Type,Rounds,O_MAE,C_MAE,E_MAE,A_MAE,N_MAE,Avg_MAE,O_RMSE,C_RMSE,E_RMSE,A_RMSE,N_RMSE,Avg_RMSE
外向性,6,1.3,0.578,0.65,1.056,1.675,1.052,1.638,0.645,0.734,1.278,2.236,1.128
宜人性,6,0.3,0.222,0.05,0.556,1.075,0.441,0.318,0.232,0.05,0.617,1.306,0.567
尽责性,6,0.5,0.222,0.25,0.556,0.675,0.441,0.55,0.232,0.263,0.617,0.766,0.475
开放性,6,1.3,0.278,0.75,1.056,1.875,1.052,1.638,0.293,0.862,1.278,2.578,1.18
神经质,6,0.5,0.222,0.65,0.056,0.075,0.301,0.55,0.232,0.734,0.056,0.076,0.382
