Participant,Rounds,O_MAE,C_MAE,E_MAE,A_MAE,N_MAE,Avg_MAE,O_RMSE,C_RMSE,E_RMSE,A_RMSE,N_RMSE,Avg_RMSE
38,4,0.18,0.149,0.055,0.813,0.97,0.434,0.192,0.157,0.056,0.956,1.161,0.59
38,5,0.32,0.131,0.085,0.653,0.89,0.416,0.347,0.137,0.087,0.746,1.051,0.531
38,6,0.28,0.229,0.035,0.633,0.95,0.426,0.303,0.247,0.035,0.716,1.133,0.553
39,1,0.64,0.527,0.4,1.031,0.425,0.605,0.762,0.627,0.436,1.351,0.475,0.736
39,2,0.8,0.5,0.36,1.331,0.385,0.675,0.954,0.57,0.391,1.737,0.425,0.81
39,3,0.62,0.36,0.24,1.091,0.725,0.607,0.703,0.394,0.252,1.349,0.84,0.701
39,4,0.62,0.28,0.32,1.191,0.745,0.631,0.704,0.3,0.342,1.503,0.865,0.736
39,5,0.52,0.187,0.28,1.251,0.575,0.563,0.581,0.195,0.297,1.593,0.654,0.708
39,6,0.5,0.233,0.3,1.151,0.625,0.562,0.563,0.248,0.319,1.464,0.71,0.694
40,1,0.3,0.384,0.75,0.54,0.16,0.427,0.336,0.426,0.868,0.666,0.172,0.525
40,2,0.38,0.433,0.75,0.64,0.26,0.493,0.417,0.478,0.865,0.778,0.276,0.564
40,3,0.36,0.384,0.77,0.593,0.22,0.466,0.396,0.426,0.89,0.732,0.235,0.557
40,4,0.36,0.444,0.83,0.653,0.26,0.51,0.396,0.5,0.972,0.805,0.277,0.602
40,5,0.36,0.364,0.87,0.76,0.22,0.515,0.396,0.403,1.026,0.925,0.235,0.612
40,6,0.32,0.504,0.85,0.76,0.3,0.547,0.36,0.56,1.0,0.928,0.324,0.631
41,1,0.22,0.567,0.805,0.767,0.56,0.584,0.233,0.643,0.937,0.962,0.624,0.675
41,2,0.34,0.487,0.825,0.673,0.3,0.525,0.364,0.551,0.964,0.861,0.32,0.639
41,3,0.28,0.407,0.785,0.747,0.42,0.528,0.297,0.462,0.91,0.942,0.461,0.635
41,4,0.32,0.327,0.765,0.647,0.3,0.472,0.342,0.37,0.884,0.791,0.32,0.562
41,5,0.24,0.296,0.725,0.533,0.24,0.407,0.253,0.337,0.832,0.664,0.257,0.523
41,6,0.28,0.307,0.765,0.567,0.24,0.432,0.297,0.342,0.883,0.694,0.257,0.536
42,1,0.3,0.406,0.09,0.749,0.425,0.394,0.325,0.447,0.093,0.936,0.471,0.495
42,2,0.28,0.406,0.11,0.689,0.515,0.4,0.302,0.451,0.113,0.83,0.574,0.482
42,3,0.38,0.466,0.23,0.609,0.475,0.432,0.429,0.52,0.247,0.707,0.526,0.501
42,4,0.4,0.389,0.13,0.749,0.575,0.449,0.447,0.432,0.134,0.903,0.643,0.541
42,5,0.42,0.409,0.23,0.709,0.655,0.485,0.474,0.454,0.246,0.848,0.743,0.551
42,6,0.5,0.369,0.23,0.773,0.555,0.486,0.573,0.413,0.245,0.923,0.624,0.564
44,1,0.52,1.004,0.195,0.391,0.34,0.49,0.576,1.207,0.203,0.446,0.371,0.588
44,2,0.4,1.044,0.215,0.211,0.34,0.442,0.433,1.264,0.225,0.223,0.37,0.548
44,3,0.66,1.144,0.215,0.371,0.22,0.522,0.758,1.407,0.225,0.411,0.23,0.647
44,4,0.58,1.064,0.215,0.231,0.26,0.47,0.659,1.301,0.225,0.244,0.274,0.592
44,5,0.6,1.044,0.215,0.331,0.26,0.49,0.685,1.271,0.225,0.366,0.275,0.607
44,6,0.58,1.104,0.235,0.211,0.26,0.478,0.662,1.363,0.246,0.222,0.274,0.61
45,1,0.74,0.507,1.31,1.356,0.49,0.88,0.857,0.566,1.654,1.915,0.551,1.036
45,2,0.84,0.42,1.29,0.996,0.41,0.791,0.998,0.465,1.625,1.317,0.463,0.921
45,3,0.86,0.4,1.33,1.076,0.51,0.835,1.024,0.442,1.693,1.418,0.575,0.961
45,4,0.88,0.38,1.37,1.196,0.47,0.859,1.05,0.416,1.748,1.584,0.528,0.996
45,5,0.86,0.44,1.39,1.036,0.53,0.851,1.024,0.488,1.781,1.367,0.597,0.979
45,6,0.8,0.42,1.29,0.996,0.55,0.811,0.934,0.467,1.631,1.317,0.621,0.927
46,1,0.6,0.513,0.555,0.187,1.02,0.575,0.677,0.57,0.619,0.198,1.276,0.669
46,2,0.62,0.853,0.495,0.2,0.96,0.625,0.699,1.004,0.547,0.21,1.186,0.713
46,3,0.48,0.813,0.515,0.267,0.94,0.603,0.534,0.958,0.568,0.284,1.154,0.688
46,4,0.48,0.953,0.495,0.267,1.08,0.655,0.53,1.137,0.547,0.285,1.322,0.736
46,5,0.4,0.893,0.535,0.147,0.8,0.555,0.438,1.061,0.593,0.152,0.958,0.646
46,6,0.48,0.893,0.575,0.133,0.86,0.588,0.531,1.06,0.643,0.137,1.039,0.676
47,1,0.12,0.713,0.425,0.62,0.67,0.51,0.126,0.82,0.47,0.715,0.791,0.609
47,2,0.04,0.773,0.365,0.48,0.59,0.45,0.041,0.897,0.392,0.544,0.687,0.55
47,3,0.04,0.793,0.365,0.28,0.61,0.418,0.041,0.928,0.392,0.313,0.719,0.539
47,4,0.06,0.913,0.345,0.207,0.41,0.387,0.061,1.081,0.37,0.231,0.482,0.529
47,5,0.06,0.893,0.305,0.307,0.81,0.475,0.061,1.06,0.325,0.338,0.957,0.601
47,6,0.04,1.033,0.385,0.313,0.61,0.476,0.041,1.249,0.415,0.342,0.715,0.609
5,1,0.24,0.398,1.025,0.393,0.255,0.462,0.255,0.438,1.247,0.428,0.273,0.564
5,2,0.16,0.278,1.165,0.533,0.315,0.49,0.169,0.299,1.441,0.623,0.344,0.642
5,3,0.1,0.118,1.045,0.493,0.315,0.414,0.103,0.121,1.274,0.563,0.344,0.564
5,4,0.08,0.098,0.965,0.573,0.475,0.438,0.082,0.1,1.155,0.686,0.528,0.582
5,5,0.12,0.167,1.005,0.533,0.405,0.446,0.127,0.173,1.214,0.623,0.445,0.573
5,6,0.14,0.256,0.925,0.473,0.275,0.414,0.148,0.283,1.106,0.534,0.295,0.518
6,1,0.1,0.289,0.74,0.184,0.32,0.327,0.104,0.316,0.85,0.196,0.348,0.421
6,2,0.22,0.216,0.74,0.304,0.32,0.36,0.244,0.226,0.853,0.326,0.35,0.436
6,3,0.18,0.236,0.72,0.324,0.34,0.36,0.2,0.249,0.828,0.351,0.373,0.431
6,4,0.18,0.236,0.7,0.286,0.44,0.368,0.2,0.248,0.8,0.308,0.488,0.439
6,5,0.18,0.356,0.66,0.444,0.52,0.432,0.2,0.386,0.748,0.484,0.584,0.485
6,6,0.32,0.416,0.66,0.444,0.48,0.464,0.356,0.453,0.748,0.484,0.542,0.508
