AblationType,Rounds,O_MAE,C_MAE,E_MAE,A_MAE,N_MAE,Avg_MAE,O_RMSE,C_RMSE,E_RMSE,A_RMSE,N_RMSE,Avg_RMSE
dialogue,1,0.652,0.583,0.631,0.676,0.721,0.653,0.793,0.681,0.75,0.844,0.88,0.773
dialogue,2,0.649,0.609,0.617,0.628,0.737,0.648,0.786,0.713,0.73,0.77,0.903,0.768
dialogue,3,0.643,0.631,0.609,0.64,0.725,0.65,0.775,0.747,0.721,0.783,0.885,0.768
dialogue,4,0.64,0.639,0.602,0.629,0.718,0.646,0.769,0.758,0.711,0.774,0.88,0.768
dialogue,5,0.637,0.653,0.612,0.625,0.717,0.649,0.772,0.776,0.728,0.766,0.871,0.766
dialogue,6,0.652,0.676,0.612,0.613,0.717,0.654,0.788,0.806,0.726,0.748,0.875,0.774
