Rounds,O_MAE,C_MAE,E_MAE,A_MAE,N_MAE,Avg_MAE,O_RMSE,C_RMSE,E_RMSE,A_RMSE,N_RMSE,Avg_RMSE
1,0.64,0.608,0.669,0.603,0.748,0.654,0.771,0.711,0.801,0.734,0.921,0.77
2,0.608,0.622,0.69,0.633,0.75,0.661,0.73,0.735,0.831,0.769,0.925,0.783
3,0.587,0.642,0.655,0.59,0.808,0.656,0.698,0.76,0.789,0.707,0.999,0.771
4,0.602,0.642,0.683,0.621,0.834,0.676,0.724,0.766,0.82,0.749,1.038,0.798
5,0.614,0.668,0.711,0.61,0.845,0.689,0.735,0.797,0.86,0.735,1.045,0.808
6,0.636,0.706,0.715,0.627,0.822,0.701,0.768,0.847,0.867,0.759,1.017,0.822
