Participant,Rounds,O_MAE,C_MAE,E_MAE,A_MAE,N_MAE,Avg_MAE,O_RMSE,C_RMSE,E_RMSE,A_RMSE,N_RMSE,Avg_RMSE
1,1,0.66,0.316,0.29,0.554,1.455,0.655,0.777,0.349,0.324,0.627,1.9,0.824
1,2,0.48,0.387,0.55,0.891,1.355,0.733,0.554,0.426,0.63,1.068,1.798,0.866
1,3,0.58,0.598,0.31,0.834,1.375,0.739,0.665,0.676,0.343,0.997,1.833,0.879
1,4,0.62,0.547,0.41,0.854,1.255,0.737,0.708,0.616,0.464,1.018,1.666,0.864
1,5,0.42,0.436,0.41,0.711,1.025,0.6,0.457,0.489,0.467,0.853,1.314,0.702
1,6,0.7,0.547,0.43,0.934,1.135,0.749,0.833,0.623,0.48,1.134,1.469,0.831
10,1,0.54,0.973,1.06,0.62,1.625,0.963,0.606,1.214,1.313,0.758,2.18,1.11
10,2,0.58,1.329,0.9,0.42,1.765,0.998,0.665,1.705,1.128,0.463,2.433,1.147
10,3,0.5,1.269,0.86,0.54,1.595,0.952,0.572,1.606,1.047,0.605,2.223,1.088
10,4,0.34,1.129,0.84,0.44,1.845,0.918,0.368,1.414,0.995,0.489,2.65,1.112
10,5,0.5,1.389,1.16,0.56,1.605,1.042,0.572,1.808,1.495,0.629,2.209,1.19
10,6,0.74,1.429,1.06,0.553,1.645,1.085,0.886,1.861,1.339,0.615,2.277,1.199
11,1,1.68,0.334,0.5,1.153,1.115,0.956,2.25,0.359,0.553,1.422,1.394,1.09
11,2,1.48,0.351,0.5,1.073,0.955,0.872,1.933,0.383,0.553,1.306,1.171,0.987
11,3,1.8,0.494,0.98,1.213,1.175,1.132,2.451,0.545,1.209,1.519,1.523,1.244
11,4,2.04,0.496,0.9,1.158,0.975,1.114,2.902,0.547,1.09,1.429,1.213,1.249
11,5,1.72,0.556,0.56,1.138,0.975,0.99,2.317,0.617,0.624,1.402,1.213,1.103
11,6,2.08,0.516,0.68,1.118,0.875,1.054,2.973,0.57,0.808,1.373,1.068,1.214
