Rounds,O_MAE,C_MAE,E_MAE,A_MAE,N_MAE,Avg_MAE,O_RMSE,C_RMSE,E_RMSE,A_RMSE,N_RMSE,Avg_RMSE
1,0.3,0.778,0.25,1.444,0.875,0.729,0.318,0.899,0.263,1.862,1.028,0.85
2,0.3,0.778,0.25,1.444,0.875,0.729,0.318,0.899,0.263,1.862,1.028,0.85
3,0.3,0.778,0.25,1.444,0.875,0.729,0.318,0.899,0.263,1.862,1.028,0.85
4,0.3,0.778,0.25,1.444,0.875,0.729,0.318,0.899,0.263,1.862,1.028,0.85
5,0.3,0.778,0.25,1.444,0.875,0.729,0.318,0.899,0.263,1.862,1.028,0.85
6,0.3,0.778,0.25,1.444,0.875,0.729,0.318,0.899,0.263,1.862,1.028,0.85
