Participant,Rounds,O_MAE,C_MAE,E_MAE,A_MAE,N_MAE,Avg_MAE,O_RMSE,C_RMSE,E_RMSE,A_RMSE,N_RMSE,Avg_RMSE
33,5,0.5,0.876,0.65,0.707,0.705,0.687,0.569,1.053,0.746,0.827,0.811,0.735
33,6,0.52,1.096,0.79,0.787,0.725,0.783,0.611,1.364,0.919,0.925,0.834,0.839
35,1,0.88,0.68,0.885,0.413,0.875,0.747,1.122,0.78,1.07,0.45,1.061,0.841
35,2,0.48,0.6,0.615,0.533,0.875,0.621,0.538,0.697,0.695,0.593,1.06,0.687
35,3,0.54,0.68,0.755,0.573,0.835,0.677,0.625,0.864,0.87,0.64,0.988,0.758
35,4,0.36,0.62,0.655,0.513,0.915,0.613,0.398,0.762,0.773,0.568,1.104,0.709
35,5,0.72,0.48,0.795,0.593,0.915,0.701,0.906,0.598,0.945,0.665,1.118,0.821
35,6,0.72,0.5,0.775,0.593,0.995,0.717,0.902,0.67,0.955,0.666,1.206,0.871
36,1,1.36,0.742,1.115,0.387,0.3,0.781,1.73,0.867,1.365,0.422,0.324,0.895
36,2,1.32,0.682,0.975,0.587,0.4,0.793,1.691,0.796,1.2,0.677,0.434,0.896
36,3,1.1,0.662,0.915,0.387,0.36,0.685,1.364,0.767,1.129,0.432,0.398,0.783
36,4,1.16,0.442,0.945,0.567,0.58,0.739,1.44,0.517,1.187,0.65,0.649,0.853
36,5,1.3,0.502,0.935,0.218,0.62,0.715,1.648,0.573,1.125,0.239,0.725,0.852
36,6,1.22,0.582,0.835,0.118,0.74,0.699,1.542,0.664,1.013,0.121,0.911,0.847
38,1,0.16,0.274,0.275,0.253,1.07,0.407,0.171,0.296,0.311,0.268,1.306,0.555
38,2,0.22,0.291,0.215,0.173,0.97,0.374,0.241,0.315,0.231,0.181,1.186,0.514
38,3,0.24,0.276,0.465,0.213,0.97,0.433,0.264,0.296,0.549,0.232,1.17,0.554
38,4,0.38,0.291,0.195,0.32,0.81,0.399,0.424,0.313,0.207,0.366,0.98,0.51
38,5,0.5,0.209,0.195,0.113,0.95,0.394,0.565,0.218,0.207,0.116,1.159,0.511
38,6,0.14,0.314,0.235,0.3,1.19,0.436,0.145,0.34,0.253,0.322,1.476,0.596
