AblationType,Rounds,O_MAE,C_MAE,E_MAE,A_MAE,N_MAE,Avg_MAE,O_RMSE,C_RMSE,E_RMSE,A_RMSE,N_RMSE,Avg_RMSE
dialogue,1,0.624,0.869,0.575,1.75,0.515,0.866,0.746,1.071,0.667,2.393,0.591,1.053
dialogue,2,0.616,0.864,0.571,1.751,0.509,0.862,0.735,1.066,0.662,2.394,0.582,1.048
dialogue,3,0.628,0.864,0.571,1.743,0.507,0.863,0.751,1.066,0.662,2.383,0.58,1.049
dialogue,4,0.621,0.869,0.564,1.746,0.508,0.862,0.742,1.072,0.654,2.387,0.581,1.048
dialogue,5,0.628,0.87,0.572,1.738,0.511,0.864,0.752,1.074,0.663,2.374,0.584,1.05
dialogue,6,0.616,0.865,0.56,1.736,0.515,0.859,0.735,1.065,0.649,2.373,0.593,1.046
