Participant,Rounds,O_MAE,C_MAE,E_MAE,A_MAE,N_MAE,Avg_MAE,O_RMSE,C_RMSE,E_RMSE,A_RMSE,N_RMSE,Avg_RMSE
45,3,0.6,0.667,1.25,2.556,0.25,1.064,0.672,0.756,1.562,3.862,0.263,1.339
45,4,0.6,0.667,1.25,2.556,0.25,1.064,0.672,0.756,1.562,3.862,0.263,1.339
45,5,0.6,0.667,1.25,2.556,0.25,1.064,0.672,0.756,1.562,3.862,0.263,1.339
45,6,0.6,0.667,1.25,2.556,0.25,1.064,0.672,0.756,1.562,3.862,0.263,1.339
46,1,0.5,1.333,0.375,1.667,0.5,0.875,0.55,1.689,0.403,2.222,0.55,1.019
46,2,0.5,1.333,0.375,1.667,0.5,0.875,0.55,1.689,0.403,2.222,0.55,1.019
46,3,0.64,1.133,0.435,1.4,0.54,0.83,0.738,1.422,0.476,1.849,0.6,0.96
46,4,0.5,1.333,0.375,1.667,0.5,0.875,0.55,1.689,0.403,2.222,0.55,1.019
46,5,0.5,1.333,0.375,1.667,0.5,0.875,0.55,1.689,0.403,2.222,0.55,1.019
46,6,0.5,1.333,0.375,1.667,0.5,0.875,0.55,1.689,0.403,2.222,0.55,1.019
47,1,0.1,1.333,0.125,1.667,0.25,0.695,0.102,1.689,0.128,2.222,0.263,0.964
47,2,0.1,1.333,0.125,1.667,0.25,0.695,0.102,1.689,0.128,2.222,0.263,0.964
47,3,0.1,1.333,0.125,1.667,0.25,0.695,0.102,1.689,0.128,2.222,0.263,0.964
47,4,0.1,1.333,0.125,1.667,0.25,0.695,0.102,1.689,0.128,2.222,0.263,0.964
47,5,0.1,1.333,0.125,1.667,0.25,0.695,0.102,1.689,0.128,2.222,0.263,0.964
47,6,0.1,1.333,0.125,1.667,0.25,0.695,0.102,1.689,0.128,2.222,0.263,0.964
5,1,0.2,0.222,1.125,2.333,0.625,0.901,0.208,0.232,1.378,3.422,0.703,1.199
5,2,0.2,0.222,1.125,2.333,0.625,0.901,0.208,0.232,1.378,3.422,0.703,1.199
5,3,0.2,0.222,1.125,2.333,0.625,0.901,0.208,0.232,1.378,3.422,0.703,1.199
5,4,0.2,0.222,1.125,2.333,0.625,0.901,0.208,0.232,1.378,3.422,0.703,1.199
5,5,0.2,0.222,1.125,2.333,0.625,0.901,0.208,0.232,1.378,3.422,0.703,1.199
5,6,0.2,0.222,1.125,2.333,0.625,0.901,0.208,0.232,1.378,3.422,0.703,1.199
6,1,0.2,0.496,0.7,1.434,0.54,0.674,0.216,0.547,0.83,1.857,0.6,0.824
6,2,0.1,0.556,0.5,1.556,0.5,0.642,0.102,0.617,0.55,2.04,0.55,0.805
6,3,0.1,0.556,0.5,1.556,0.5,0.642,0.102,0.617,0.55,2.04,0.55,0.805
6,4,0.1,0.556,0.5,1.556,0.5,0.642,0.102,0.617,0.55,2.04,0.55,0.805
6,5,0.1,0.556,0.5,1.556,0.5,0.642,0.102,0.617,0.55,2.04,0.55,0.805
6,6,0.1,0.556,0.5,1.556,0.5,0.642,0.102,0.617,0.55,2.04,0.55,0.805
7,1,1.4,0.111,1.125,2.444,1.0,1.216,1.792,0.114,1.378,3.64,1.2,1.429
7,2,1.4,0.111,1.125,2.444,1.0,1.216,1.792,0.114,1.378,3.64,1.2,1.429
7,3,1.4,0.111,1.125,2.444,1.0,1.216,1.792,0.114,1.378,3.64,1.2,1.429
7,4,1.4,0.111,1.125,2.444,1.0,1.216,1.792,0.114,1.378,3.64,1.2,1.429
7,5,1.54,0.111,1.165,1.966,0.96,1.148,2.03,0.114,1.438,2.923,1.146,1.377
7,6,1.4,0.111,1.125,2.444,1.0,1.216,1.792,0.114,1.378,3.64,1.2,1.429
8,1,0.9,1.333,0.25,1.333,0.75,0.913,1.062,1.689,0.263,1.689,0.862,0.999
8,2,0.9,1.333,0.25,1.333,0.75,0.913,1.062,1.689,0.263,1.689,0.862,0.999
8,3,0.9,1.333,0.25,1.333,0.75,0.913,1.062,1.689,0.263,1.689,0.862,0.999
8,4,0.9,1.333,0.25,1.333,0.75,0.913,1.062,1.689,0.263,1.689,0.862,0.999
8,5,0.9,1.333,0.25,1.333,0.75,0.913,1.062,1.689,0.263,1.689,0.862,0.999
8,6,0.9,1.333,0.25,1.333,0.75,0.913,1.062,1.689,0.263,1.689,0.862,0.999
9,1,0.0,1.556,0.75,1.667,0.25,0.844,0.0,2.04,0.862,2.222,0.263,1.079
9,2,0.0,1.556,0.75,1.667,0.25,0.844,0.0,2.04,0.862,2.222,0.263,1.079
9,3,0.0,1.556,0.75,1.667,0.25,0.844,0.0,2.04,0.862,2.222,0.263,1.079
9,4,0.0,1.556,0.75,1.667,0.25,0.844,0.0,2.04,0.862,2.222,0.263,1.079
9,5,0.0,1.556,0.75,1.667,0.25,0.844,0.0,2.04,0.862,2.222,0.263,1.079
9,6,0.0,1.556,0.75,1.667,0.25,0.844,0.0,2.04,0.862,2.222,0.263,1.079
