Participant,Rounds,O_MAE,C_MAE,E_MAE,A_MAE,N_MAE,Avg_MAE,O_RMSE,C_RMSE,E_RMSE,A_RMSE,N_RMSE,Avg_RMSE
1,1,0.42,0.336,0.51,0.474,1.475,0.643,0.46,0.368,0.575,0.529,1.961,0.791
1,2,0.46,0.416,0.51,0.774,1.555,0.743,0.507,0.455,0.58,0.902,2.12,0.894
1,3,0.82,0.367,0.67,0.514,1.515,0.777,1.001,0.409,0.827,0.583,2.078,0.957
1,4,0.74,0.598,0.31,0.756,1.365,0.754,0.886,0.674,0.349,0.87,1.787,0.881
1,5,0.7,0.387,0.61,0.736,1.275,0.742,0.833,0.426,0.724,0.846,1.715,0.849
1,6,0.74,0.416,0.45,0.796,1.295,0.74,0.88,0.455,0.517,0.927,1.731,0.851
10,1,0.54,0.969,0.52,0.58,1.965,0.914,0.603,1.187,0.611,0.712,2.758,1.131
10,2,0.58,1.369,0.9,0.493,2.025,1.073,0.665,1.781,1.116,0.543,2.848,1.247
10,3,0.46,1.249,0.9,0.68,1.705,0.998,0.526,1.584,1.169,0.787,2.384,1.158
10,4,0.46,1.369,0.8,0.553,1.765,0.989,0.526,1.8,0.934,0.62,2.492,1.165
10,5,0.42,1.249,0.84,0.493,1.675,0.935,0.467,1.584,0.999,0.543,2.351,1.107
10,6,0.6,1.389,0.88,0.493,1.735,1.019,0.683,1.802,1.082,0.543,2.459,1.177
11,1,1.72,0.314,0.52,1.069,1.255,0.976,2.334,0.338,0.578,1.304,1.577,1.118
11,2,1.56,0.454,0.36,1.189,1.265,0.966,2.086,0.498,0.403,1.486,1.681,1.124
11,3,1.9,0.454,0.6,1.089,1.415,1.092,2.644,0.498,0.677,1.326,1.829,1.226
11,4,1.6,0.394,0.52,1.089,1.155,0.952,2.138,0.429,0.576,1.329,1.493,1.077
11,5,1.9,0.596,0.96,1.249,1.205,1.182,2.668,0.668,1.171,1.576,1.563,1.295
11,6,1.78,0.556,0.74,1.209,1.255,1.108,2.476,0.62,0.87,1.52,1.617,1.214
13,1,0.6,0.613,0.15,0.278,0.475,0.423,0.678,0.709,0.156,0.3,0.527,0.483
13,2,0.46,0.458,0.37,0.182,0.515,0.397,0.516,0.526,0.441,0.191,0.576,0.475
13,3,0.4,0.242,0.27,0.327,0.755,0.399,0.454,0.264,0.301,0.351,0.905,0.487
13,4,0.52,0.573,0.37,0.271,0.855,0.518,0.575,0.653,0.415,0.287,1.043,0.593
13,5,0.6,0.182,0.29,0.251,0.715,0.407,0.682,0.194,0.337,0.267,0.862,0.516
13,6,0.72,0.358,0.35,0.227,0.615,0.454,0.886,0.394,0.386,0.239,0.697,0.541
14,1,1.04,0.553,0.67,0.684,0.305,0.651,1.347,0.645,0.802,0.858,0.34,0.794
14,2,0.92,0.467,0.57,0.656,0.315,0.586,1.179,0.523,0.666,0.816,0.364,0.726
14,3,0.76,0.707,0.77,0.938,0.705,0.776,0.904,0.811,0.938,1.208,0.856,0.879
14,4,0.98,0.66,0.81,0.827,0.515,0.758,1.257,0.778,0.964,1.037,0.617,0.855
14,5,0.94,0.507,0.53,0.907,0.685,0.714,1.204,0.575,0.594,1.174,0.826,0.825
14,6,0.7,0.447,0.73,0.487,0.415,0.556,0.84,0.492,0.906,0.551,0.472,0.688
15,1,0.38,0.331,0.29,0.593,0.54,0.427,0.411,0.359,0.312,0.67,0.6,0.462
15,2,0.2,0.269,0.11,0.453,0.52,0.311,0.211,0.288,0.113,0.496,0.584,0.373
15,3,0.32,0.191,0.51,0.493,0.46,0.395,0.354,0.206,0.594,0.546,0.519,0.466
15,4,0.46,0.231,0.27,0.533,0.56,0.411,0.507,0.252,0.293,0.593,0.652,0.476
15,5,0.54,0.436,0.37,0.593,0.36,0.46,0.609,0.478,0.422,0.667,0.393,0.507
15,6,0.46,0.371,0.61,0.633,0.56,0.527,0.504,0.406,0.695,0.721,0.665,0.582
16,1,1.06,0.9,1.645,0.507,0.94,1.01,1.286,1.065,2.193,0.57,1.152,1.099
16,2,0.74,0.72,1.485,0.7,0.84,0.897,0.876,0.826,1.964,0.82,0.99,0.988
16,3,0.74,0.62,1.385,0.66,0.66,0.813,0.869,0.712,1.809,0.768,0.768,0.906
16,4,0.62,0.66,1.645,0.747,0.78,0.89,0.718,0.75,2.189,0.863,0.912,0.99
16,5,0.78,0.64,1.505,0.647,0.66,0.846,0.923,0.746,1.963,0.744,0.76,0.948
16,6,0.58,0.76,1.065,0.847,0.84,0.818,0.675,0.88,1.358,0.998,0.988,0.886
17,1,0.26,0.474,0.325,0.173,0.4,0.327,0.276,0.524,0.362,0.186,0.435,0.379
17,2,0.4,0.256,0.515,0.084,0.46,0.343,0.442,0.28,0.585,0.088,0.504,0.415
17,3,0.3,0.396,0.695,0.113,0.76,0.453,0.328,0.434,0.794,0.118,0.93,0.549
17,4,0.2,0.351,0.765,0.113,0.66,0.418,0.211,0.388,0.883,0.118,0.784,0.519
17,5,0.26,0.414,0.705,0.084,0.34,0.361,0.281,0.462,0.821,0.088,0.37,0.448
17,6,0.34,0.271,0.835,0.062,0.56,0.414,0.369,0.294,1.028,0.064,0.652,0.54
18,1,0.66,1.236,0.495,0.373,0.5,0.653,0.781,1.562,0.546,0.403,0.553,0.749
18,2,0.48,1.176,0.435,0.58,0.76,0.686,0.554,1.473,0.479,0.65,0.93,0.798
18,3,0.5,1.356,0.615,0.533,0.54,0.709,0.557,1.73,0.715,0.59,0.683,0.835
18,4,0.38,1.276,0.745,0.48,0.68,0.712,0.436,1.638,0.88,0.531,0.827,0.851
18,5,0.52,1.596,0.485,0.653,0.7,0.791,0.608,2.109,0.562,0.743,0.869,0.955
18,6,0.66,1.436,0.565,0.613,0.76,0.807,0.79,1.86,0.657,0.691,0.93,0.935
19,1,0.82,1.044,1.375,1.038,1.255,1.106,1.001,1.268,1.817,1.256,1.674,1.197
19,2,1.0,1.044,1.435,0.998,1.255,1.146,1.234,1.291,1.864,1.202,1.687,1.237
19,3,1.08,1.044,1.195,1.038,1.515,1.174,1.318,1.285,1.539,1.258,2.064,1.234
19,4,0.8,1.344,1.015,1.078,1.405,1.128,0.95,1.709,1.273,1.317,1.898,1.211
19,5,0.9,1.364,0.875,0.998,1.475,1.122,1.072,1.745,1.104,1.208,1.996,1.201
19,6,0.58,1.164,1.275,0.978,1.465,1.092,0.675,1.463,1.639,1.171,1.962,1.183
2,1,0.12,0.733,0.54,0.213,1.53,0.627,0.123,0.86,0.628,0.226,2.029,0.838
2,2,0.18,0.973,0.46,0.169,1.39,0.634,0.188,1.193,0.541,0.177,1.833,0.86
2,3,0.3,0.873,0.56,0.269,1.63,0.726,0.324,1.047,0.645,0.295,2.169,0.914
2,4,0.42,0.773,0.44,0.089,1.09,0.562,0.46,0.91,0.483,0.09,1.377,0.71
2,5,0.16,0.993,0.44,0.153,1.51,0.651,0.171,1.211,0.491,0.161,1.972,0.86
2,6,0.38,1.113,0.56,0.109,1.45,0.722,0.42,1.381,0.693,0.111,1.943,0.914
20,1,1.16,0.551,0.78,0.12,1.09,0.74,1.456,0.642,0.912,0.125,1.348,0.861
20,2,1.16,0.571,0.82,0.2,0.99,0.748,1.446,0.657,0.957,0.208,1.235,0.856
20,3,0.9,0.431,0.9,0.22,0.87,0.664,1.064,0.492,1.072,0.23,1.058,0.757
20,4,1.16,0.791,0.82,0.26,0.73,0.752,1.459,0.93,0.988,0.276,0.876,0.85
20,5,0.88,0.531,0.54,0.26,0.59,0.56,1.04,0.604,0.605,0.276,0.681,0.636
20,6,1.12,0.691,0.7,0.32,0.73,0.712,1.392,0.829,0.84,0.345,0.889,0.851
21,1,0.54,0.742,0.605,0.464,1.545,0.779,0.67,0.871,0.694,0.562,2.063,0.951
21,2,0.3,0.782,0.425,0.393,1.565,0.693,0.324,0.92,0.49,0.426,2.056,0.863
21,3,0.34,0.802,0.305,0.262,1.035,0.549,0.368,0.955,0.328,0.28,1.307,0.673
21,4,0.36,0.982,0.405,0.322,1.095,0.633,0.39,1.212,0.461,0.349,1.385,0.782
21,5,0.5,0.782,0.455,0.293,1.135,0.633,0.56,0.938,0.507,0.312,1.45,0.732
21,6,0.38,0.902,0.445,0.522,1.395,0.729,0.414,1.115,0.512,0.579,1.806,0.879
22,1,0.54,0.164,1.365,0.467,0.1,0.527,0.609,0.172,1.745,0.529,0.11,0.722
22,2,0.54,0.316,1.045,0.093,0.42,0.483,0.609,0.346,1.345,0.095,0.477,0.61
22,3,0.26,0.153,1.265,0.162,0.38,0.444,0.294,0.164,1.599,0.171,0.448,0.656
22,4,0.5,0.176,0.845,0.158,0.34,0.404,0.566,0.183,1.025,0.166,0.388,0.505
22,5,0.38,0.256,1.165,0.093,0.4,0.459,0.418,0.275,1.464,0.095,0.486,0.633
22,6,0.42,0.276,0.885,0.178,0.52,0.456,0.47,0.297,1.053,0.189,0.72,0.616
23,1,0.46,0.447,0.79,0.687,0.525,0.582,0.507,0.503,0.926,0.796,0.637,0.662
23,2,0.5,0.396,0.93,0.647,0.695,0.634,0.563,0.435,1.113,0.739,0.842,0.708
23,3,0.46,0.447,0.71,0.707,0.525,0.57,0.516,0.5,0.839,0.827,0.7,0.69
23,4,0.46,0.436,0.63,0.767,0.235,0.506,0.507,0.477,0.736,0.908,0.252,0.585
