Rounds,O_MAE,C_MAE,E_MAE,A_MAE,N_MAE,Avg_MAE,O_RMSE,C_RMSE,E_RMSE,A_RMSE,N_RMSE,Avg_RMSE
1,0.641,0.578,0.670,0.516,0.789,0.639,0.772,0.674,0.802,0.609,0.981,0.750
2,0.611,0.613,0.673,0.535,0.800,0.646,0.734,0.722,0.809,0.628,0.992,0.762
3,0.608,0.619,0.665,0.531,0.830,0.650,0.729,0.735,0.799,0.619,1.031,0.763
4,0.603,0.634,0.676,0.548,0.833,0.659,0.721,0.753,0.809,0.642,1.034,0.771
5,0.633,0.650,0.698,0.555,0.843,0.675,0.760,0.776,0.841,0.654,1.045,0.790
6,0.605,0.685,0.713,0.561,0.850,0.683,0.727,0.819,0.867,0.659,1.057,0.800
