Rounds,O_MAE,C_MAE,E_MAE,A_MAE,N_MAE,Avg_MAE,O_RMSE,C_RMSE,E_RMSE,A_RMSE,N_RMSE,Avg_RMSE
1,0.46,0.764,0.37,0.569,2.075,0.848,0.516,0.899,0.41,0.651,2.95,1.084
2,0.34,0.544,0.43,1.046,1.435,0.759,0.364,0.618,0.479,1.314,1.921,0.923
3,0.44,0.484,0.33,0.929,1.595,0.756,0.494,0.544,0.355,1.139,2.183,0.957
4,0.26,0.556,0.33,1.026,1.175,0.669,0.275,0.632,0.357,1.292,1.478,0.828
5,0.32,0.727,0.35,1.046,1.175,0.723,0.346,0.839,0.383,1.314,1.494,0.862
6,0.36,0.716,0.27,1.109,1.355,0.762,0.387,0.82,0.285,1.389,1.791,0.924
